family,model,data_policy,optimizer,learning_rate,weight_decay,epochs,val_accuracy,val_macro_f1,val_precision_macro,val_recall_macro,test_accuracy,test_macro_f1,test_precision_macro,test_recall_macro,status
classical_text,"TF-IDF + Linear SVM | max_features=2048, C=0.3",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7638009049773755,0.7637072412970969,0.7637413962635201,0.7636843554000118,0.7730560578661845,0.7728017861191112,0.7733448078026391,0.7727162706719699,completed
classical_text,"TF-IDF + Logistic Regression | max_features=2048, C=3.0",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7610859728506787,0.7610153162541042,0.7610153162541042,0.7610153162541042,0.7775768535262206,0.7773409496374617,0.7778418775403173,0.7772529830437513,completed
classical_text,"TF-IDF + Logistic Regression | max_features=2048, C=1.0",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7610859728506787,0.7608727015187682,0.7611928297626549,0.7607974020696933,0.7766726943942134,0.7763346097510453,0.7772203129462044,0.7762455516014235,completed
classical_text,"TF-IDF + Multinomial NB | max_features=2048, alpha=0.5",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7574660633484163,0.7572988991824183,0.7574833702882483,0.7572386832084832,0.7757685352622061,0.7755806684928638,0.7759073637316563,0.7755030615449026,completed
classical_text,"TF-IDF + Multinomial NB | max_features=2048, alpha=1.0",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7574660633484163,0.7572988991824183,0.7574833702882483,0.7572386832084832,0.7721518987341772,0.7719841352950416,0.7722354667155694,0.7719149047519364,completed
classical_text,"TF-IDF + Logistic Regression | max_features=1024, C=3.0",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7574660633484163,0.7571938317033655,0.7576765188834154,0.7571141608173912,0.7676311030741411,0.7673418104877161,0.7679783148414773,0.7672604406531296,completed
classical_text,"TF-IDF + Linear SVM | max_features=1024, C=0.3",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7574660633484163,0.7570982368419326,0.7578929024706215,0.7570207690240722,0.7631103074141049,0.7626998165618448,0.7637465510445408,0.7626354144860791,completed
classical_text,"TF-IDF + Multinomial NB | max_features=2048, alpha=0.1",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7565610859728507,0.7563567570846254,0.756636587366694,0.7562867422976347,0.7721518987341772,0.7719363707776905,0.7723406207402748,0.7718560288884238,completed
classical_text,"TF-IDF + Logistic Regression | max_features=1024, C=1.0",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.755656108597285,0.7552855371168724,0.7560762690130008,0.7552102789956942,0.7694394213381555,0.7691810974516866,0.7697188755020081,0.7690986759472472,completed
classical_text,"TF-IDF + Logistic Regression | max_features=1024, C=0.3",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.755656108597285,0.7550492610837438,0.7566889632107023,0.755023495409056,0.7585895117540687,0.7579466010703393,0.7598408592939161,0.7579515124555161,completed
classical_text,"TF-IDF + Linear SVM | max_features=2048, C=1.0",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7538461538461538,0.7538217583036833,0.7538246837060284,0.7538978785316843,0.7685352622061483,0.7683413352184401,0.7686615566037736,0.7682678720954574,completed
classical_text,"TF-IDF + Linear SVM | max_features=1024, C=1.0",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7529411764705882,0.7527070529704419,0.7530575468725382,0.7526346316431057,0.7576853526220615,0.7572654612159329,0.7582972014189988,0.7572090223989951,completed
classical_text,"TF-IDF + Linear SVM | max_features=2048, C=3.0",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7502262443438914,0.7502096738261542,0.750234229630212,0.7503080290727013,0.7549728752260397,0.7547802253993577,0.7550528125767625,0.7547166108436257,completed
classical_text,"TF-IDF + Linear SVM | max_features=1024, C=3.0",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7502262443438914,0.7500770304909629,0.750204951631415,0.7500278536927443,0.7522603978300181,0.751935928541726,0.7525980160604628,0.7518709441071803,completed
classical_text,"TF-IDF + Logistic Regression | max_features=512, C=1.0",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7502262443438914,0.749945886381078,0.7504187192118227,0.7498722007038792,0.759493670886076,0.7592921686254104,0.7596042976939203,0.7592238852836508,completed
classical_text,"TF-IDF + Logistic Regression | max_features=2048, C=0.3",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7493212669683258,0.7484237701461942,0.7510676545367869,0.7485155620219814,0.7739602169981917,0.7730511123368267,0.7764260745213316,0.773134943479171,completed
classical_text,"TF-IDF + Logistic Regression | max_features=512, C=3.0",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7484162895927602,0.7482659944800278,0.7483931792097065,0.7482173636643663,0.7576853526220615,0.7576060894510792,0.7576254219989008,0.7575917155118275,completed
classical_text,"TF-IDF + Linear SVM | max_features=512, C=0.3",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7484162895927602,0.7482428879578817,0.7484223093979192,0.7481862330665933,0.7567811934900542,0.7566361583205659,0.7567883856817847,0.7565842840694996,completed
classical_text,"TF-IDF + Multinomial NB | max_features=512, alpha=0.1",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.746606334841629,0.7456144389704866,0.7485632183908046,0.745753131082755,0.7486437613019892,0.7471147519410448,0.7524042950513539,0.747576276952062,completed
classical_text,"TF-IDF + Logistic Regression | max_features=512, C=0.3",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7447963800904978,0.7442515905793057,0.7455359201934544,0.7442228164343341,0.7567811934900542,0.7563778904710161,0.7573420510782791,0.7563193426836927,completed
classical_text,"TF-IDF + Multinomial NB | max_features=512, alpha=1.0",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7447963800904978,0.7437973992488474,0.7467320261437909,0.743942641054377,0.7450271247739603,0.7433274958523162,0.7491812810779019,0.7438998063638267,completed
classical_text,"TF-IDF + Multinomial NB | max_features=1024, alpha=1.0",text_title_only_source_excluded,liblinear/hinge/closed_form,,,,0.7438914027149321,0.7434072277412139,0.7444794485373996,0.7433642673168046,0.7540687160940326,0.7532934446019,0.7556369636963696,0.7533559242202219,completed
